ticker,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,,url,d_domain[],address1,address2,city,state,zip,country,fullTimeEmployees,,url,TickerSymbol,dk,CorpNameKITTB,CorpAddress,CorpCity,CorpState,CorpZip,CorpCountry,PublicOrPrivate,NumEmployees,Industry,SIC,SIC2,Ticker match
ABUS,Arbutus Biopharma Corporation,1.47,$83.57M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abus,,https://crawl.versium.com/finance.php?cmd=readall&ticker=ABUS,arbutusbio.com,701 Veterans Circle,,Warminster,PA,18974,United States,79,,https://api2b.versium.com/kv.php?cfg_previewmax=1&d_domain[]=arbutusbio.com,ABUS,arbutusbio.com,ARBUTUS BIOPHARMA,100-8900 GLENLYON PARKWAY,BURNABY,BC,,CA,Public,75,Chemicals (Pharmaceutical and Drug),2834,28,TRUE
AC,"Associated Capital Group, Inc.",35,$788.04M,2015,Finance,Investment Bankers/Brokers/Service,https://www.nasdaq.com/symbol/ac,,https://crawl.versium.com/finance.php?cmd=readall&ticker=AC,associated-capital-group.com,One Corporate Center,,Rye,NY,10580,United States,62,,https://api2b.versium.com/kv.php?cfg_previewmax=1&d_domain[]=associated-capital-group.com,,associated-capital-group.com,CAPITAL GROUP,401 THEODORE FREMD AVENUE ONE CORPORATE CENTER,RYE,NY,10580,US,Private,0,,,,
ACA,"Arcosa, Inc.",31.77,$1.54B,2018,Capital Goods,Metal Fabrications,https://www.nasdaq.com/symbol/aca,,https://crawl.versium.com/finance.php?cmd=readall&ticker=CHU,chinaunicom.com.hk,The Center,75th Floor 99 Queen's Road,Central,,,Hong Kong,246299,,https://api2b.versium.com/kv.php?cfg_previewmax=1&d_domain[]=chinaunicom.com.hk, , , , , , , , , , , , , ,
ACAD,ACADIA Pharmaceuticals Inc.,29.12,$4.21B,1985,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acad,,https://crawl.versium.com/finance.php?cmd=readall&ticker=ACAD,acadia-pharm.com,3611 Valley Centre Drive,Suite 300,San Diego,CA,92130,United States,477,,https://api2b.versium.com/kv.php?cfg_previewmax=1&d_domain[]=acadia-pharm.com,ACAD,acadia-pharm.com,ACADIA PHARMACEUTICALS,3611 VALLEY CENTRE DR STE 300,SAN DIEGO,CA,92121,US,Public,400,Chemicals (Pharmaceutical and Drug),2834,28,TRUE
ACB,Aurora Cannabis Inc.,6.09,$6.2B,2018,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/acb,,https://crawl.versium.com/finance.php?cmd=readall&ticker=SNX,synnexcorp.com,44201 Nobel Drive,,Fremont,CA,94538,United States,231000,,https://api2b.versium.com/kv.php?cfg_previewmax=1&d_domain[]=synnexcorp.com, , , , , , , , , , , , , ,
ACBI,"Atlantic Capital Bancshares, Inc.",17.28,$395.35M,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/acbi,,https://crawl.versium.com/finance.php?cmd=readall&ticker=ACBI,atlanticcapitalbank.com,945 East Paces Ferry Road NE,Suite 1600,Atlanta,GA,30326,United States,199,,https://api2b.versium.com/kv.php?cfg_previewmax=1&d_domain[]=atlanticcapitalbank.com,,atlanticcapitalbank.com,ATLANTIC CAPITAL BANK,1110 MARKET ST STE 300,CHATTANOOGA,TN,37402,US,Private,350,Religious Organizations,8661,86,
ACC,American Campus Communities Inc,46.49,$6.39B,2004,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/acc,,https://crawl.versium.com/finance.php?cmd=readall&ticker=ACC,americancampus.com,12700 Hill Country Boulevard,Suite T-200,Austin,TX,78738,United States,3098,,https://api2b.versium.com/kv.php?cfg_previewmax=1&d_domain[]=americancampus.com,ACC,americancampus.com,AMERICAN CAMPUS COMMUNITIES,12700 HILL COUNTRY BLVD STE T-200,AUSTIN,TX,78733,US,Public,3183,Investment and Holding,6798,65,TRUE
ACCO,Acco Brands Corporation,9.39,$919.33M,n/a,Consumer Durables,Publishing,https://www.nasdaq.com/symbol/acco,,https://crawl.versium.com/finance.php?cmd=readall&ticker=ACCO,accobrands.com,Four Corporate Drive,,Lake Zurich,IL,60047,United States,6700,,https://api2b.versium.com/kv.php?cfg_previewmax=1&d_domain[]=accobrands.com,ACCO,accobrands.com,ACCO BRANDS,FOUR CORPORATE DR,LAKE ZURICH,IL,,US,Public,0,,2780,26,TRUE
ACER,Acer Therapeutics Inc.,2.17,$21.89M,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acer,,https://crawl.versium.com/finance.php?cmd=readall&ticker=ACER,acertx.com,One Gateway Center,Suite 351,Newton,MA,2458,United States,19,,https://api2b.versium.com/kv.php?cfg_previewmax=1&d_domain[]=acertx.com,,acertx.com,ACER THERAPEUTICS,222 THIRD ST STE 2240,CAMBRIDGE,MA,2141,US,Private,30,,,,
ACGL,Arch Capital Group Ltd.,38.33,$15.52B,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/acgl,,https://crawl.versium.com/finance.php?cmd=readall&ticker=ACGL,archcapgroup.com,Waterloo House,Ground Floor 100 Pitts Bay Road,Pembroke,,HM 08,Bermuda,3642,,https://api2b.versium.com/kv.php?cfg_previewmax=1&d_domain[]=archcapgroup.com,ACGL,archcapgroup.com,ARCH INSURANCE,"WATERLOO HOUSE, GROUND FLOOR 100 PITTS BAY ROAD",PEMBROKE,,,BM,Public,3000,Insurance and Casualty,6331,63,TRUE
